Date,AAPL,RELIANCE.NS,TCS.NS,MARUTI.NS,HDFCBANK.NS,AMZN,ICICIBANK.NS,INFY.NS
25-10-2023,169.1180115,1120.68042,3157.276367,10377.4502,728.3251953,121.3899994,901.3260498,1289.881226
26-10-2023,164.9567871,1105.070801,3107.590332,10216.04004,712.2158813,119.5699997,893.9962769,1279.901611
27-10-2023,166.2713623,1124.576538,3120.814941,10349.86328,715.0143433,127.7399979,898.0301514,1299.578613
30-10-2023,168.3173828,1147.755005,3146.519531,10190.11719,722.7770386,132.7100067,909.9841919,1296.471924
31-10-2023,168.7918396,1135.545288,3137.393066,10184.8252,718.5914917,133.0899963,900.5881348,1288.327881
01-11-2023,171.9547424,1140.260376,3101.90918,10023.55957,717.618103,137,899.309082,1274.911743
02-11-2023,175.5130463,1151.57666,3129.33667,10097.89648,718.7131958,138.0700073,905.1140137,1289.975342
03-11-2023,174.6036987,1151.328491,3120.768311,10071.14063,722.1199951,138.6000061,918.7406616,1307.769409
06-11-2023,177.1538086,1160.907593,3148.102539,10079.51953,727.3518677,139.7400055,930.2027588,1321.185669
07-11-2023,179.7138214,1153.363403,3138.975342,10048.60059,723.8233032,142.7100067,932.8099976,1322.127319
08-11-2023,180.7714081,1159.369019,3149.313965,10116.22168,725.9161377,142.0800018,920.6591797,1309.605469
09-11-2023,180.2969971,1146.787109,3117.55542,10192.71484,723.0447388,140.6000061,922.2333374,1294.353394
10-11-2023,184.48349,1148.946167,3104.51709,10181.39453,725.8918457,143.5599976,923.4632568,1288.751465
13-11-2023,182.8999634,1148.797363,3102.747314,10190.80371,724.5778198,142.5899963,919.380188,1293.176514
15-11-2023,186.0769348,1169.568481,3170.501709,10247.30273,732.1699829,143.1999969,925.9229126,1327.964478
16-11-2023,187.7594757,1171.677856,3257.626709,10275.18457,734.0924072,142.8300018,920.9051514,1360.351563
17-11-2023,187.7396698,1169.121826,3261.9104,10313.40625,732.5106812,145.1799927,906.9833374,1353.431519
20-11-2023,189.4815826,1166.044556,3277.882568,10355.30273,732.5593262,146.1300049,906.5898438,1352.537109
21-11-2023,188.6798859,1180.710938,3269.12793,10324.82324,738.7646484,143.8999939,911.1647949,1354.796753
22-11-2023,189.3430176,1185.326782,3287.708008,10285.0332,736.1365967,146.7100067,907.8688354,1372.496704
24-11-2023,188.0168152,1188.155884,3219.675049,10305.71289,745.6511841,146.7400055,914.4116211,1353.290405
28-11-2023,188.4423676,1188.404053,3231.828125,10327.1748,743.972168,147.0299988,910.5745239,1358.280151
29-11-2023,187.4229736,1191.530884,3272.434814,10387.64355,758.81604,146.3200073,924.4470825,1374.191284
30-11-2023,187.9969635,1179.991333,3248.080078,10396.90527,758.645752,146.0899963,919.8721313,1370.001709
01-12-2023,189.2737274,1188.354492,3270.478516,10374.36426,756.9910278,147.0299988,931.4326172,1367.318604
04-12-2023,187.4823303,1201.209351,3271.223633,10387.83984,783.2720337,144.8399963,975.2149658,1378.66333
05-12-2023,191.4312897,1209.919922,3289.058105,10507.8457,790.2315674,146.8800049,997.1062012,1368.871948
